# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'task-clock:ppp'
# Event count (approx.): 119732732613
#
# Overhead  Symbol                                            IPC   [IPC Coverage]
# ........  ................................................  ....................
#
     0.05%  [.] secure_read                                   -      -            
     0.05%  [.] strlen@plt                                    -      -            
     0.05%  [.] AtEOXact_Enum                                 -      -            
     0.05%  [.] GetNextLocalTransactionId                     -      -            
     0.05%  [.] MarkLockClear                                 -      -            
     0.05%  [k] netdev_core_pick_tx                           -      -            
     0.05%  [.] object_aclmask_ext.constprop.0                -      -            
     0.05%  [.] FreeExecutorState                             -      -            
     0.05%  [.] standard_ExecutorEnd                          -      -            
     0.05%  [k] tcp_event_new_data_sent                       -      -            
     0.05%  [.] IncrTupleDescRefCount                         -      -            
     0.05%  [.] RegisterSnapshot                              -      -            
     0.05%  [k] __skb_datagram_iter                           -      -            
     0.05%  [.] initStringInfo                                -      -            
     0.05%  [.] table_open                                    -      -            
     0.05%  [.] 0x000000000009eda5                            -      -            
     0.05%  [.] AtEOXact_ApplyLauncher                        -      -            
     0.05%  [.] CreateQueryDesc                               -      -            
     0.05%  [.] PreCommit_CheckForSerializationFailure        -      -            
     0.05%  [.] RelationIncrementReferenceCount               -      -            
     0.05%  [.] ReservePrivateRefCountEntryFor                -      -            
     0.05%  [.] _bt_fix_scankey_strategy                      -      -            
     0.05%  [.] get_typstorage                                -      -            
     0.05%  [k] ip_skb_dst_mtu                                -      -            
     0.05%  [k] lock_sock_nested                              -      -            
     0.05%  [.] tts_virtual_clear                             -      -            
     0.05%  [.] ExecutorStart                                 -      -            
     0.05%  [.] bms_is_member                                 -      -            
     0.05%  [.] btbeginscan                                   -      -            
     0.05%  [.] RelationGetIndexScan                          -      -            
     0.05%  [.] SearchPathMatchesCurrentEnvironment           -      -            
     0.05%  [k] __copy_skb_header                             -      -            
     0.05%  [.] getTypeOutputInfo                             -      -            
     0.05%  [k] import_ubuf                                   -      -            
     0.05%  [k] ipv4_mtu                                      -      -            
     0.05%  [.] populate_compact_attribute                    -      -            
     0.05%  [k] tcp_established_options                       -      -            
     0.05%  [.] pgstat_clear_snapshot                         -      -            
     0.05%  [.] standard_ExecutorFinish                       -      -            
     0.05%  [.] tts_buffer_heap_init                          -      -            
     0.04%  [.] AbortStrongLockAcquire                        -      -            
     0.04%  [.] ExecCloseRangeTableRelations                  -      -            
     0.04%  [.] PortalSetResultFormat                         -      -            
     0.04%  [k] __sk_dst_check                                -      -            
     0.04%  [k] inet_sendmsg                                  -      -            
     0.04%  [.] AtEOXact_LogicalCtl                           -      -            
     0.04%  [.] ExecCloseResultRelations                      -      -            
     0.04%  [.] GetCurrentStatementStartTimestamp             -      -            
     0.04%  [.] recv                                          -      -            
     0.04%  [.] 0x0000000000176fc0                            -      -            
     0.04%  [.] ExecInitRangeTable                            -      -            
     0.04%  [.] TransactionBlockStatusCode                    -      -            
     0.04%  [.] palloc0_mul                                   -      -            
     0.04%  [.] AtEOXact_Files                                -      -            
     0.04%  [.] ExecTargetListLength                          -      -            
     0.04%  [.] ResourceOwnerForgetLock                       -      -            
     0.04%  [.] index_getnext_slot                            -      -            
     0.04%  [k] tcp_stream_memory_free                        -      -            
     0.04%  [.] FreeExprContext                               -      -            
     0.04%  [.] UnregisterSnapshotFromOwner                   -      -            
     0.04%  [.] jit_compile_expr                              -      -            
     0.04%  [.] makeParamList                                 -      -            
     0.04%  [.] printtup_shutdown                             -      -            
     0.04%  [k] tcp_sendmsg                                   -      -            
     0.04%  [.] 0x0000000000172800                            -      -            
     0.04%  [.] ExecEndIndexScan                              -      -            
     0.04%  [.] ExecEndNode                                   -      -            
     0.04%  [k] slab_update_freelist.isra.0                   -      -            
     0.04%  [.] AcceptInvalidationMessages                    -      -            
     0.04%  [.] BuildQueryCompletionString                    -      -            
     0.04%  [.] ExecEvalParamExtern                           -      -            
     0.04%  [.] ExecIndexEvalRuntimeKeys                      -      -            
     0.04%  [k] __ip_local_out                                -      -            
     0.04%  [k] inet_recvmsg                                  -      -            
     0.04%  [.] 0x00000000001727f5                            -      -            
     0.04%  [.] AtEOXact_ComboCid                             -      -            
     0.04%  [.] AtEOXact_SPI                                  -      -            
     0.04%  [.] DecrTupleDescRefCount                         -      -            
     0.04%  [.] ExecScanReScan                                -      -            
     0.04%  [k] __slab_free                                   -      -            
     0.04%  [k] ena_com_rx_pkt                                -      -            
     0.04%  [.] socket_flush                                  -      -            
     0.04%  [.] BufferLockUnlock                              -      -            
     0.04%  [k] apparmor_ip_postroute                         -      -            
     0.04%  [k] ena_unmask_interrupt                          -      -            
     0.04%  [k] kmalloc_reserve                               -      -            
     0.04%  [.] pg_server_to_any                              -      -            
     0.04%  [k] timespec64_add_safe                           -      -            
     0.04%  [.] AtEOXact_PgStat                               -      -            
     0.04%  [.] PortalDrop                                    -      -            
     0.04%  [.] SaveTransactionCharacteristics                -      -            
     0.04%  [.] afterTriggerMarkEvents.isra.0                 -      -            
     0.04%  [.] bms_copy                                      -      -            
     0.04%  [k] mem_cgroup_handle_over_high                   -      -            
     0.04%  [k] tcp_rcv_space_adjust                          -      -            
     0.04%  [.] 0x000000000008f3cd                            -      -            
     0.04%  [.] 0x00000000000a1d56                            -      -            
     0.04%  [.] 0x00000000001727f2                            -      -            
     0.04%  [.] AtEOXact_HashTables                           -      -            
     0.04%  [.] MemoryContextStrdup                           -      -            
     0.04%  [k] __sk_mem_reduce_allocated                     -      -            
     0.04%  [k] ena_com_create_meta                           -      -            
     0.04%  [k] ena_com_sq_update_tail                        -      -            
     0.04%  [.] fmgr_info_copy                                -      -            
     0.04%  [k] hrtimer_start_range_ns                        -      -            
     0.04%  [k] napi_alloc_skb                                -      -            
     0.04%  [.] pgstat_init_relation                          -      -            
     0.04%  [k] skb_clone                                     -      -            
     0.04%  [.] table_slot_callbacks                          -      -            
     0.04%  [.] 0x0000000000172825                            -      -            
     0.04%  [.] OidInputFunctionCall                          -      -            
     0.04%  [.] ProcReleaseLocks                              -      -            
     0.04%  [k] __fq_codel_dequeue                            -      -            
     0.04%  [.] index_beginscan                               -      -            
     0.04%  [.] list_delete_ptr                               -      -            
     0.04%  [k] skb_copy_bits                                 -      -            
     0.04%  [k] tcp_options_write.isra.0                      -      -            
     0.04%  [.] 0x0000000000172845                            -      -            
     0.03%  [.] PortalDefineQuery                             -      -            
     0.03%  [.] ReportChangedGUCOptions                       -      -            
     0.03%  [.] _bt_steppage                                  -      -            
     0.03%  [.] int4out                                       -      -            
     0.03%  [k] napi_complete_done                            -      -            
     0.03%  [.] pq_beginmessage_reuse                         -      -            
     0.03%  [k] tcp_v4_rcv                                    -      -            
     0.03%  [.] ExecInitExpr                                  -      -            
