# file	sha1	names	declaration
src/backend/nodes/copyfuncs.switch.c	9abc85c8138db6f2f9dc80e3e06298d1e1fbf393	retval	retval = _copyGrantRoleStmt(from);
src/backend/nodes/copyfuncs.switch.c	5da0fbd889a0f93f65aeec6f39c6b91d4387624e	retval	retval = _copyAlterDefaultPrivilegesStmt(from);
src/backend/nodes/copyfuncs.switch.c	5fdfca4f0c3edc9d5b36461359f9231040e570b5	retval	retval = _copyCopyStmt(from);
src/backend/nodes/copyfuncs.switch.c	e6e0af40fc86efc3838a02accd63dff5543b6ab6	retval	retval = _copyVariableSetStmt(from);
src/backend/nodes/copyfuncs.switch.c	31e9a55aef4eb1675b35ee71a4b24aa1b1c801ed	retval	retval = _copyVariableShowStmt(from);
src/backend/nodes/copyfuncs.switch.c	6e39c0fb87053df092333f430e5085cb962737d3	retval	retval = _copyCreateStmt(from);
src/backend/nodes/copyfuncs.switch.c	f10f09f9b705ef58d8ab035a8bfff88868c218aa	retval	retval = _copyConstraint(from);
src/backend/nodes/copyfuncs.switch.c	fc07e0b7d9df447fc88dff21545b4a30d684b85c	retval	retval = _copyCreateTableSpaceStmt(from);
src/backend/nodes/copyfuncs.switch.c	3716331623591d7a74ba0f22405a3887db58b9e4	retval	retval = _copyDropTableSpaceStmt(from);
src/backend/nodes/copyfuncs.switch.c	d7ca148cdebc379ad5fd0aa628f6e3d0dc7d7e27	retval	retval = _copyAlterTableSpaceOptionsStmt(from);
src/backend/nodes/copyfuncs.switch.c	1e25ae6eb27d438950e44397a963ec7a193aa757	retval	retval = _copyAlterTableMoveAllStmt(from);
src/backend/nodes/copyfuncs.switch.c	11c6121129d81bf7e62f575b942e9753e1d5132a	retval	retval = _copyCreateExtensionStmt(from);
src/backend/nodes/copyfuncs.switch.c	6a721ce93bd7476d4ff4cc23d8ca6b6a3914f205	retval	retval = _copyAlterExtensionStmt(from);
src/backend/nodes/copyfuncs.switch.c	a1f7cac4bdadd8bc619a694098e7760a2e74c7d6	retval	retval = _copyAlterExtensionContentsStmt(from);
src/backend/nodes/copyfuncs.switch.c	f9c38005116bafc6c1ac8c39a5691fae663d745e	retval	retval = _copyCreateFdwStmt(from);
src/backend/nodes/copyfuncs.switch.c	701e3910db5ab4aacafed88fba3fb858009e70c1	retval	retval = _copyAlterFdwStmt(from);
src/backend/nodes/copyfuncs.switch.c	69fa52f0963df0f789dd218a848fd98197ade616	retval	retval = _copyCreateForeignServerStmt(from);
